index,wav_path,text,model,language
1,/home/hg23463/images-that-sound/data/raw_audio_50/000001.wav,can everything government radio reach see that they wife,tts_models/en/ljspeech/tacotron2-DDC,en
2,/home/hg23463/images-that-sound/data/raw_audio_50/000002.wav,administration between center feel official particularly this vote weight,tts_models/en/ljspeech/tacotron2-DDC,en
3,/home/hg23463/images-that-sound/data/raw_audio_50/000003.wav,degree despite lot majority member reduce seem sure worker,tts_models/en/ljspeech/tacotron2-DDC,en
4,/home/hg23463/images-that-sound/data/raw_audio_50/000004.wav,blood choose evening peace street than within young yourself,tts_models/en/ljspeech/tacotron2-DDC,en
5,/home/hg23463/images-that-sound/data/raw_audio_50/000005.wav,attorney check despite explain eye high probably size yet,tts_models/en/ljspeech/tacotron2-DDC,en
6,/home/hg23463/images-that-sound/data/raw_audio_50/000006.wav,animal city exactly himself manager music occur real which,tts_models/en/ljspeech/tacotron2-DDC,en
7,/home/hg23463/images-that-sound/data/raw_audio_50/000007.wav,agent citizen collection decide expect good meeting quite shoulder,tts_models/en/ljspeech/tacotron2-DDC,en
8,/home/hg23463/images-that-sound/data/raw_audio_50/000008.wav,economy education him late majority one recognize sex skin,tts_models/en/ljspeech/tacotron2-DDC,en
9,/home/hg23463/images-that-sound/data/raw_audio_50/000009.wav,believe fast from help note skill too wind woman,tts_models/en/ljspeech/tacotron2-DDC,en
10,/home/hg23463/images-that-sound/data/raw_audio_50/000010.wav,Republican author bed player positive star strong view word,tts_models/en/ljspeech/tacotron2-DDC,en
11,/home/hg23463/images-that-sound/data/raw_audio_50/000011.wav,as better fish generation heart itself miss sea sort,tts_models/en/ljspeech/tacotron2-DDC,en
12,/home/hg23463/images-that-sound/data/raw_audio_50/000012.wav,career create face heat hotel party patient study team,tts_models/en/ljspeech/tacotron2-DDC,en
13,/home/hg23463/images-that-sound/data/raw_audio_50/000013.wav,budget campaign cost force gun house nature question would,tts_models/en/ljspeech/tacotron2-DDC,en
14,/home/hg23463/images-that-sound/data/raw_audio_50/000014.wav,dead letter meeting pattern position stuff suddenly trouble with,tts_models/en/ljspeech/tacotron2-DDC,en
15,/home/hg23463/images-that-sound/data/raw_audio_50/000015.wav,benefit deep doctor measure of prevent stuff through town,tts_models/en/ljspeech/tacotron2-DDC,en
16,/home/hg23463/images-that-sound/data/raw_audio_50/000016.wav,avoid fill kid medical political receive seven so state,tts_models/en/ljspeech/tacotron2-DDC,en
17,/home/hg23463/images-that-sound/data/raw_audio_50/000017.wav,black dead environment marriage movie pick some stock war,tts_models/en/ljspeech/tacotron2-DDC,en
18,/home/hg23463/images-that-sound/data/raw_audio_50/000018.wav,PM any approach country environmental fall film increase their,tts_models/en/ljspeech/tacotron2-DDC,en
19,/home/hg23463/images-that-sound/data/raw_audio_50/000019.wav,ago condition factor leave once quality reduce school ten,tts_models/en/ljspeech/tacotron2-DDC,en
20,/home/hg23463/images-that-sound/data/raw_audio_50/000020.wav,best decision final kill page physical reflect six stage,tts_models/en/ljspeech/tacotron2-DDC,en
21,/home/hg23463/images-that-sound/data/raw_audio_50/000021.wav,century control hair hit human others picture song television,tts_models/en/ljspeech/tacotron2-DDC,en
22,/home/hg23463/images-that-sound/data/raw_audio_50/000022.wav,Democrat candidate explain friend project put station such talk,tts_models/en/ljspeech/tacotron2-DDC,en
23,/home/hg23463/images-that-sound/data/raw_audio_50/000023.wav,during fill his hot lie off report set worry,tts_models/en/ljspeech/tacotron2-DDC,en
24,/home/hg23463/images-that-sound/data/raw_audio_50/000024.wav,at blood half interest media money really report whole,tts_models/en/ljspeech/tacotron2-DDC,en
25,/home/hg23463/images-that-sound/data/raw_audio_50/000025.wav,allow card from manager pull response six usually with,tts_models/en/ljspeech/tacotron2-DDC,en
26,/home/hg23463/images-that-sound/data/raw_audio_50/000026.wav,art claim interview maybe road something teacher trouble whole,tts_models/en/ljspeech/tacotron2-DDC,en
27,/home/hg23463/images-that-sound/data/raw_audio_50/000027.wav,big establish floor hit more none number situation victim,tts_models/en/ljspeech/tacotron2-DDC,en
28,/home/hg23463/images-that-sound/data/raw_audio_50/000028.wav,check include lose official option perhaps road room score,tts_models/en/ljspeech/tacotron2-DDC,en
29,/home/hg23463/images-that-sound/data/raw_audio_50/000029.wav,condition day five lie nation organization respond student third,tts_models/en/ljspeech/tacotron2-DDC,en
30,/home/hg23463/images-that-sound/data/raw_audio_50/000030.wav,anything back eat heavy month personal score theory today,tts_models/en/ljspeech/tacotron2-DDC,en
31,/home/hg23463/images-that-sound/data/raw_audio_50/000031.wav,car hear material most only problem state think under,tts_models/en/ljspeech/tacotron2-DDC,en
32,/home/hg23463/images-that-sound/data/raw_audio_50/000032.wav,Republican area career else key much nothing recently work,tts_models/en/ljspeech/tacotron2-DDC,en
33,/home/hg23463/images-that-sound/data/raw_audio_50/000033.wav,before can executive feel few finish huge official rather,tts_models/en/ljspeech/tacotron2-DDC,en
34,/home/hg23463/images-that-sound/data/raw_audio_50/000034.wav,agreement always among change determine fire language last then,tts_models/en/ljspeech/tacotron2-DDC,en
35,/home/hg23463/images-that-sound/data/raw_audio_50/000035.wav,bag dead pay picture several somebody song term weight,tts_models/en/ljspeech/tacotron2-DDC,en
36,/home/hg23463/images-that-sound/data/raw_audio_50/000036.wav,bit control dinner garden really through throw unit white,tts_models/en/ljspeech/tacotron2-DDC,en
37,/home/hg23463/images-that-sound/data/raw_audio_50/000037.wav,Mrs direction drive government heart leader own task when,tts_models/en/ljspeech/tacotron2-DDC,en
38,/home/hg23463/images-that-sound/data/raw_audio_50/000038.wav,Congress explain happy heavy major man marriage often suggest,tts_models/en/ljspeech/tacotron2-DDC,en
39,/home/hg23463/images-that-sound/data/raw_audio_50/000039.wav,analysis could detail player program public rather than tonight,tts_models/en/ljspeech/tacotron2-DDC,en
40,/home/hg23463/images-that-sound/data/raw_audio_50/000040.wav,enough here it kid movie must show since sound,tts_models/en/ljspeech/tacotron2-DDC,en
41,/home/hg23463/images-that-sound/data/raw_audio_50/000041.wav,Mr and come gun letter past result test thus,tts_models/en/ljspeech/tacotron2-DDC,en
42,/home/hg23463/images-that-sound/data/raw_audio_50/000042.wav,always character design each leg letter quite region series,tts_models/en/ljspeech/tacotron2-DDC,en
43,/home/hg23463/images-that-sound/data/raw_audio_50/000043.wav,bar born deal everything finish real several strategy thousand,tts_models/en/ljspeech/tacotron2-DDC,en
44,/home/hg23463/images-that-sound/data/raw_audio_50/000044.wav,clearly couple exactly however involve message might off room,tts_models/en/ljspeech/tacotron2-DDC,en
45,/home/hg23463/images-that-sound/data/raw_audio_50/000045.wav,come growth hang main politics stuff tonight tough vote,tts_models/en/ljspeech/tacotron2-DDC,en
46,/home/hg23463/images-that-sound/data/raw_audio_50/000046.wav,available family federal in information mind pay street use,tts_models/en/ljspeech/tacotron2-DDC,en
47,/home/hg23463/images-that-sound/data/raw_audio_50/000047.wav,bill five him letter rather realize science sex so,tts_models/en/ljspeech/tacotron2-DDC,en
48,/home/hg23463/images-that-sound/data/raw_audio_50/000048.wav,above accept become exist kind nice only public spring,tts_models/en/ljspeech/tacotron2-DDC,en
49,/home/hg23463/images-that-sound/data/raw_audio_50/000049.wav,apply detail lie live most people type whole wife,tts_models/en/ljspeech/tacotron2-DDC,en
50,/home/hg23463/images-that-sound/data/raw_audio_50/000050.wav,account between camera civil home maintain natural outside small,tts_models/en/ljspeech/tacotron2-DDC,en
1,/home/hg23463/images-that-sound/data/raw_audio_50/000001.wav,art condition thought worry,tts_models/en/ljspeech/tacotron2-DDC,en
2,/home/hg23463/images-that-sound/data/raw_audio_50/000002.wav,consumer idea newspaper weight,tts_models/en/ljspeech/tacotron2-DDC,en
3,/home/hg23463/images-that-sound/data/raw_audio_50/000003.wav,expect love positive reason,tts_models/en/ljspeech/tacotron2-DDC,en
4,/home/hg23463/images-that-sound/data/raw_audio_50/000004.wav,book during situation traditional,tts_models/en/ljspeech/tacotron2-DDC,en
5,/home/hg23463/images-that-sound/data/raw_audio_50/000005.wav,another believe collection shoot,tts_models/en/ljspeech/tacotron2-DDC,en
6,/home/hg23463/images-that-sound/data/raw_audio_50/000006.wav,beyond debate me three,tts_models/en/ljspeech/tacotron2-DDC,en
7,/home/hg23463/images-that-sound/data/raw_audio_50/000007.wav,agency at come whom,tts_models/en/ljspeech/tacotron2-DDC,en
8,/home/hg23463/images-that-sound/data/raw_audio_50/000008.wav,article fact however personal,tts_models/en/ljspeech/tacotron2-DDC,en
9,/home/hg23463/images-that-sound/data/raw_audio_50/000009.wav,administration n't thousand year,tts_models/en/ljspeech/tacotron2-DDC,en
10,/home/hg23463/images-that-sound/data/raw_audio_50/000010.wav,do explain require return,tts_models/en/ljspeech/tacotron2-DDC,en
11,/home/hg23463/images-that-sound/data/raw_audio_50/000011.wav,case forget leave section,tts_models/en/ljspeech/tacotron2-DDC,en
12,/home/hg23463/images-that-sound/data/raw_audio_50/000012.wav,available dinner leg prepare,tts_models/en/ljspeech/tacotron2-DDC,en
13,/home/hg23463/images-that-sound/data/raw_audio_50/000013.wav,edge expect such true,tts_models/en/ljspeech/tacotron2-DDC,en
14,/home/hg23463/images-that-sound/data/raw_audio_50/000014.wav,agency situation teach yard,tts_models/en/ljspeech/tacotron2-DDC,en
15,/home/hg23463/images-that-sound/data/raw_audio_50/000015.wav,agency available company wind,tts_models/en/ljspeech/tacotron2-DDC,en
16,/home/hg23463/images-that-sound/data/raw_audio_50/000016.wav,choose impact strong throw,tts_models/en/ljspeech/tacotron2-DDC,en
17,/home/hg23463/images-that-sound/data/raw_audio_50/000017.wav,itself mention raise today,tts_models/en/ljspeech/tacotron2-DDC,en
18,/home/hg23463/images-that-sound/data/raw_audio_50/000018.wav,career degree early word,tts_models/en/ljspeech/tacotron2-DDC,en
19,/home/hg23463/images-that-sound/data/raw_audio_50/000019.wav,building professor should we,tts_models/en/ljspeech/tacotron2-DDC,en
20,/home/hg23463/images-that-sound/data/raw_audio_50/000020.wav,age evidence name ten,tts_models/en/ljspeech/tacotron2-DDC,en
21,/home/hg23463/images-that-sound/data/raw_audio_50/000021.wav,almost body heavy page,tts_models/en/ljspeech/tacotron2-DDC,en
22,/home/hg23463/images-that-sound/data/raw_audio_50/000022.wav,agency manage somebody then,tts_models/en/ljspeech/tacotron2-DDC,en
23,/home/hg23463/images-that-sound/data/raw_audio_50/000023.wav,many memory to week,tts_models/en/ljspeech/tacotron2-DDC,en
24,/home/hg23463/images-that-sound/data/raw_audio_50/000024.wav,heavy industry man station,tts_models/en/ljspeech/tacotron2-DDC,en
25,/home/hg23463/images-that-sound/data/raw_audio_50/000025.wav,anyone field nation spend,tts_models/en/ljspeech/tacotron2-DDC,en
26,/home/hg23463/images-that-sound/data/raw_audio_50/000026.wav,grow heat serve worker,tts_models/en/ljspeech/tacotron2-DDC,en
27,/home/hg23463/images-that-sound/data/raw_audio_50/000027.wav,camera little road training,tts_models/en/ljspeech/tacotron2-DDC,en
28,/home/hg23463/images-that-sound/data/raw_audio_50/000028.wav,figure loss prove very,tts_models/en/ljspeech/tacotron2-DDC,en
29,/home/hg23463/images-that-sound/data/raw_audio_50/000029.wav,ability important lay rate,tts_models/en/ljspeech/tacotron2-DDC,en
30,/home/hg23463/images-that-sound/data/raw_audio_50/000030.wav,court disease face many,tts_models/en/ljspeech/tacotron2-DDC,en
31,/home/hg23463/images-that-sound/data/raw_audio_50/000031.wav,article me rather tough,tts_models/en/ljspeech/tacotron2-DDC,en
32,/home/hg23463/images-that-sound/data/raw_audio_50/000032.wav,behavior probably thank threat,tts_models/en/ljspeech/tacotron2-DDC,en
33,/home/hg23463/images-that-sound/data/raw_audio_50/000033.wav,democratic fine side study,tts_models/en/ljspeech/tacotron2-DDC,en
34,/home/hg23463/images-that-sound/data/raw_audio_50/000034.wav,her patient rock start,tts_models/en/ljspeech/tacotron2-DDC,en
35,/home/hg23463/images-that-sound/data/raw_audio_50/000035.wav,between different instead want,tts_models/en/ljspeech/tacotron2-DDC,en
36,/home/hg23463/images-that-sound/data/raw_audio_50/000036.wav,rest seem spend stop,tts_models/en/ljspeech/tacotron2-DDC,en
37,/home/hg23463/images-that-sound/data/raw_audio_50/000037.wav,build his situation whose,tts_models/en/ljspeech/tacotron2-DDC,en
38,/home/hg23463/images-that-sound/data/raw_audio_50/000038.wav,everybody middle social teacher,tts_models/en/ljspeech/tacotron2-DDC,en
39,/home/hg23463/images-that-sound/data/raw_audio_50/000039.wav,describe push threat two,tts_models/en/ljspeech/tacotron2-DDC,en
40,/home/hg23463/images-that-sound/data/raw_audio_50/000040.wav,listen place popular stage,tts_models/en/ljspeech/tacotron2-DDC,en
41,/home/hg23463/images-that-sound/data/raw_audio_50/000041.wav,either purpose same table,tts_models/en/ljspeech/tacotron2-DDC,en
42,/home/hg23463/images-that-sound/data/raw_audio_50/000042.wav,deep employee low to,tts_models/en/ljspeech/tacotron2-DDC,en
43,/home/hg23463/images-that-sound/data/raw_audio_50/000043.wav,call growth into standard,tts_models/en/ljspeech/tacotron2-DDC,en
44,/home/hg23463/images-that-sound/data/raw_audio_50/000044.wav,dark near send together,tts_models/en/ljspeech/tacotron2-DDC,en
45,/home/hg23463/images-that-sound/data/raw_audio_50/000045.wav,actually maintain treatment violence,tts_models/en/ljspeech/tacotron2-DDC,en
46,/home/hg23463/images-that-sound/data/raw_audio_50/000046.wav,certain letter onto or,tts_models/en/ljspeech/tacotron2-DDC,en
47,/home/hg23463/images-that-sound/data/raw_audio_50/000047.wav,coach eat return without,tts_models/en/ljspeech/tacotron2-DDC,en
48,/home/hg23463/images-that-sound/data/raw_audio_50/000048.wav,a financial reach scientist,tts_models/en/ljspeech/tacotron2-DDC,en
49,/home/hg23463/images-that-sound/data/raw_audio_50/000049.wav,add budget last speak,tts_models/en/ljspeech/tacotron2-DDC,en
50,/home/hg23463/images-that-sound/data/raw_audio_50/000050.wav,ahead article be police,tts_models/en/ljspeech/tacotron2-DDC,en
1,/home/hg23463/images-that-sound/data/raw_audio_50/000001.wav,come customer management serve,tts_models/en/ljspeech/tacotron2-DDC,en
2,/home/hg23463/images-that-sound/data/raw_audio_50/000002.wav,ball member perform throughout,tts_models/en/ljspeech/tacotron2-DDC,en
3,/home/hg23463/images-that-sound/data/raw_audio_50/000003.wav,effect person time victim,tts_models/en/ljspeech/tacotron2-DDC,en
4,/home/hg23463/images-that-sound/data/raw_audio_50/000004.wav,control out special success,tts_models/en/ljspeech/tacotron2-DDC,en
5,/home/hg23463/images-that-sound/data/raw_audio_50/000005.wav,each just move time,tts_models/en/ljspeech/tacotron2-DDC,en
6,/home/hg23463/images-that-sound/data/raw_audio_50/000006.wav,base billion central degree,tts_models/en/ljspeech/tacotron2-DDC,en
7,/home/hg23463/images-that-sound/data/raw_audio_50/000007.wav,challenge effect finish plan,tts_models/en/ljspeech/tacotron2-DDC,en
8,/home/hg23463/images-that-sound/data/raw_audio_50/000008.wav,single walk woman year,tts_models/en/ljspeech/tacotron2-DDC,en
9,/home/hg23463/images-that-sound/data/raw_audio_50/000009.wav,food risk work your,tts_models/en/ljspeech/tacotron2-DDC,en
10,/home/hg23463/images-that-sound/data/raw_audio_50/000010.wav,above industry key such,tts_models/en/ljspeech/tacotron2-DDC,en
11,/home/hg23463/images-that-sound/data/raw_audio_50/000011.wav,agent development do usually,tts_models/en/ljspeech/tacotron2-DDC,en
12,/home/hg23463/images-that-sound/data/raw_audio_50/000012.wav,against environmental movie year,tts_models/en/ljspeech/tacotron2-DDC,en
13,/home/hg23463/images-that-sound/data/raw_audio_50/000013.wav,but father part partner,tts_models/en/ljspeech/tacotron2-DDC,en
14,/home/hg23463/images-that-sound/data/raw_audio_50/000014.wav,allow decide show suggest,tts_models/en/ljspeech/tacotron2-DDC,en
15,/home/hg23463/images-that-sound/data/raw_audio_50/000015.wav,arrive cut grow task,tts_models/en/ljspeech/tacotron2-DDC,en
16,/home/hg23463/images-that-sound/data/raw_audio_50/000016.wav,easy morning resource seek,tts_models/en/ljspeech/tacotron2-DDC,en
17,/home/hg23463/images-that-sound/data/raw_audio_50/000017.wav,adult here stand tough,tts_models/en/ljspeech/tacotron2-DDC,en
18,/home/hg23463/images-that-sound/data/raw_audio_50/000018.wav,finger member military when,tts_models/en/ljspeech/tacotron2-DDC,en
19,/home/hg23463/images-that-sound/data/raw_audio_50/000019.wav,always hospital somebody tonight,tts_models/en/ljspeech/tacotron2-DDC,en
20,/home/hg23463/images-that-sound/data/raw_audio_50/000020.wav,better eight half stage,tts_models/en/ljspeech/tacotron2-DDC,en
21,/home/hg23463/images-that-sound/data/raw_audio_50/000021.wav,Republican beat material record,tts_models/en/ljspeech/tacotron2-DDC,en
22,/home/hg23463/images-that-sound/data/raw_audio_50/000022.wav,draw her theory write,tts_models/en/ljspeech/tacotron2-DDC,en
23,/home/hg23463/images-that-sound/data/raw_audio_50/000023.wav,dead draw point throughout,tts_models/en/ljspeech/tacotron2-DDC,en
24,/home/hg23463/images-that-sound/data/raw_audio_50/000024.wav,heart later never series,tts_models/en/ljspeech/tacotron2-DDC,en
25,/home/hg23463/images-that-sound/data/raw_audio_50/000025.wav,economy institution kitchen serious,tts_models/en/ljspeech/tacotron2-DDC,en
26,/home/hg23463/images-that-sound/data/raw_audio_50/000026.wav,address college plan treatment,tts_models/en/ljspeech/tacotron2-DDC,en
27,/home/hg23463/images-that-sound/data/raw_audio_50/000027.wav,forget hit morning ready,tts_models/en/ljspeech/tacotron2-DDC,en
28,/home/hg23463/images-that-sound/data/raw_audio_50/000028.wav,concern fail future hard,tts_models/en/ljspeech/tacotron2-DDC,en
29,/home/hg23463/images-that-sound/data/raw_audio_50/000029.wav,PM assume case finger,tts_models/en/ljspeech/tacotron2-DDC,en
30,/home/hg23463/images-that-sound/data/raw_audio_50/000030.wav,member program range unit,tts_models/en/ljspeech/tacotron2-DDC,en
31,/home/hg23463/images-that-sound/data/raw_audio_50/000031.wav,air happen that upon,tts_models/en/ljspeech/tacotron2-DDC,en
32,/home/hg23463/images-that-sound/data/raw_audio_50/000032.wav,check hundred onto red,tts_models/en/ljspeech/tacotron2-DDC,en
